match_id,tier,division
NA1_5210710281,IRON,IV
NA1_5207776510,IRON,IV
NA1_5232112757,IRON,III
NA1_5230660877,IRON,III
NA1_5236071630,IRON,II
NA1_5236048012,IRON,II
NA1_5214353119,IRON,I
NA1_5213632499,IRON,I
NA1_5210384604,BRONZE,IV
NA1_5210355412,BRONZE,IV
NA1_5211575043,BRONZE,III
NA1_5211536234,BRONZE,III
NA1_5218334195,BRONZE,II
NA1_5217707661,BRONZE,II
NA1_5236983640,BRONZE,I
NA1_5236954471,BRONZE,I
NA1_5212474116,SILVER,IV
NA1_5212458481,SILVER,IV
NA1_5208054179,SILVER,III
NA1_5203227826,SILVER,III
NA1_5216679729,SILVER,II
NA1_5216658504,SILVER,II
NA1_5231708183,SILVER,I
NA1_5231701468,SILVER,I
NA1_5236784695,GOLD,IV
NA1_5234518589,GOLD,IV
NA1_5237262079,GOLD,III
NA1_5236899175,GOLD,III
NA1_5233811010,GOLD,II
NA1_5233687485,GOLD,II
NA1_5222606883,GOLD,I
NA1_5222373457,GOLD,I
NA1_5212184513,PLATINUM,IV
NA1_5212148436,PLATINUM,IV
NA1_5215765726,PLATINUM,III
NA1_5204810067,PLATINUM,III
NA1_5237017544,PLATINUM,II
NA1_5236983335,PLATINUM,II
NA1_5237237365,PLATINUM,I
NA1_5234306555,PLATINUM,I
NA1_5226835049,EMERALD,IV
NA1_5226788322,EMERALD,IV
NA1_5237288506,EMERALD,III
NA1_5237252728,EMERALD,III
NA1_5236913538,EMERALD,II
NA1_5236882566,EMERALD,II
NA1_5235375280,EMERALD,I
NA1_5235361479,EMERALD,I
NA1_5235959527,DIAMOND,IV
NA1_5235355352,DIAMOND,IV
NA1_5235797685,DIAMOND,III
NA1_5235792106,DIAMOND,III
NA1_5232291724,DIAMOND,II
NA1_5232273059,DIAMOND,II
NA1_5226744126,DIAMOND,I
NA1_5226724530,DIAMOND,I
NA1_5206478055,IRON,I
NA1_5230277075,IRON,II
NA1_5224800463,IRON,III
NA1_5206410689,IRON,IV
NA1_5236093666,BRONZE,I
NA1_5217054677,BRONZE,II
NA1_5211511186,BRONZE,III
NA1_5210336435,BRONZE,IV
NA1_5231683265,SILVER,I
NA1_5216636622,SILVER,II
NA1_5203177375,SILVER,III
NA1_5210321145,SILVER,IV
NA1_5222358023,GOLD,I
NA1_5233644484,GOLD,II
NA1_5236845679,GOLD,III
NA1_5234508274,GOLD,IV
NA1_5234066364,PLATINUM,I
NA1_5236957814,PLATINUM,II
NA1_5204789836,PLATINUM,III
NA1_5211501716,PLATINUM,IV
NA1_5235324983,EMERALD,I
NA1_5236847312,EMERALD,II
NA1_5236278393,EMERALD,III
NA1_5226770434,EMERALD,IV
NA1_5226399990,DIAMOND,I
NA1_5214353119,IRON,I
NA1_5236071630,IRON,II
NA1_5232112757,IRON,III
NA1_5210710281,IRON,IV
NA1_5236983640,BRONZE,I
NA1_5218334195,BRONZE,II
NA1_5211575043,BRONZE,III
NA1_5210384604,BRONZE,IV
NA1_5231708183,SILVER,I
NA1_5216679729,SILVER,II
NA1_5208054179,SILVER,III
NA1_5212474116,SILVER,IV
NA1_5222606883,GOLD,I
NA1_5233811010,GOLD,II
NA1_5237262079,GOLD,III
NA1_5236784695,GOLD,IV
NA1_5237237365,PLATINUM,I
NA1_5237017544,PLATINUM,II
NA1_5215765726,PLATINUM,III
NA1_5212184513,PLATINUM,IV
NA1_5235375280,EMERALD,I
NA1_5236913538,EMERALD,II
NA1_5237306986,EMERALD,III
NA1_5226835049,EMERALD,IV
NA1_5235959527,DIAMOND,IV
NA1_5235797685,DIAMOND,III
NA1_5232291724,DIAMOND,II
NA1_5226744126,DIAMOND,I
